2020-08-05,1,Xtophe-2013,"1,97","0,41"
2020-08-08,1,Englishrose0₆,"2,05","0,41"
2020-08-08,1,elocachou,"2,85","0,43"
2020-08-08,1,syljul_28,"8,00","0,58"
2020-08-08,1,patbar74210,"1,45","0,39"
2020-08-09,1,bichonchoupette,"6,85","0,55"
2020-08-11,3,281870,"2,66","0,43"
2020-08-11,2,herhervanl,"3,45","0,45"
2020-08-11,2,melvyndesert,"3,35","0,45"
2020-08-11,1,Pascaforti₆,"4,85","0,49"
2020-08-11,1,isabellem7273,"3,90","0,46"
2020-08-11,4,pcsap,"6,39","0,00"
2020-08-12,1,pejo6257,"1,50","0,39"
2020-08-14,3,morofra,"5,80","0,00"
2020-08-17,1,Duthe-anai,"2,68","0,43"
2020-08-19,1,francoispierre2008,"1,50","0,39"
2020-08-20,1,vikou,"1,50","0,39"
2020-08-20,2,cassis1,"2,20","0,41"
2020-08-21,1,lensois02100francoise,"2,00","0,41"
2020-08-22,1,Joeadni₀,"1,80","0,40"
2020-08-22,3,amvap,"5,30","0,50"
2020-08-23,2,copain.57leucate,"4,76","0,49"
2020-08-25,1,lenoyellois,"2,75","0,43"
2020-08-29,1,Englishrose0₆,"1,85","0,40"
2020-08-29,1,jeanlouis1946,"5,85","0,52"
2020-08-29,1,Boby_30,"4,35","0,48"
2020-08-29,1,1papouvert,"3,35","0,45"
2020-08-30,2,patbar74210,"1,50","0,39"
2020-08-30,2,hepat60,"5,05","0,50"
2020-08-30,1,nouca2411,"2,85","0,43"
2020-08-30,1,herhervanl,"5,35","0,51"
2020-08-30,1,melvyndesert,"1,85","0,40"
2020-08-31,1,valeriane13,"2,85","0,43"
2020-09-02,2,cyanure4819,"3,50","0,80"
2020-09-02,2,Danjou-48,"3,50","0,80"
2020-09-05,1,phiph.b.krkav8t,"1,50","0,39"
2020-09-06,1,Ggmem-p4x849,"4,35","0,48"
2020-09-07,1,birdwatch56,"2,85","0,43"
2020-09-08,1,Palpal-r1ryqfnh,"3,35","0,45"
2020-09-08,1,piedu21,"2,35","0,42"
2020-09-08,X,patbar74210,"3,00","0,00"
2020-09-09,1,elocachou,"3,85","0,46"
2020-09-09,2,Chantalormea₀,"3,00","0,78"
2020-09-09,1,nenecnea,"1,60","0,40"
2020-09-10,1,jeanpault9049,"2,00","0,41"
2020-09-11,1,piedu21,"1,95","0,41"
2020-09-11,1,timbre0328,"2,00","0,41"
2020-09-11,1,piedu21,"2,85","0,43"
2020-09-12,11,yann5299,"6,65","0,54"
2020-09-12,1,frisquette0,"6,90","0,55"
2020-09-12,1,elocachou12,"4,35","0,48"
2020-09-13,1,richafr_fyvasg,"2,85","0,43"
2020-09-14,1,alain7669,"2,85","0,43"
2020-09-15,2,titi802009,"3,35","0,45"
2020-09-15,1,Englishrose0₆,"1,75","0,40"
2020-09-15,1,melvyndesert,"2,85","0,43"
2020-09-15,4,Virgch-8839,"6,40","0,54"
2020-09-16,1,birdwatch56,"2,35","0,42"
2020-09-17,1,arytmi,"1,79","0,00"
2020-09-17,4,roedrerone,"4,10","0,47"
2020-09-17,1,kadomi58,"3,35","0,45"
2020-09-18,1,Duthe-anai,"5,35","0,51"
2020-09-19,1,stock6257,"2,00","0,41"
2020-09-20,1,Amiren-4,"4,35","0,48"
2020-09-21,2,herhervanl,"3,38","0,45"
2020-09-21,1,jeanpault9049,"2,55","0,42"
2020-09-21,1,Sauzd-miche,"8,35","0,59"
2020-09-21,1,monober67,"3,25","0,44"
2020-09-24,1,phildes_17,"4,35","0,48"
2020-09-24,1,timbre_enchere,"1,80","0,40"
2020-09-24,1,gb94000,"1,80","0,40"
2020-09-25,2,chalix01,"3,30","0,45"
2020-09-26,1,piedu21,"4,35","0,48"
2020-09-27,1,titi802009,"2,35","0,42"
2020-09-27,1,jacquescollectiontimbres,"1,45","0,39"
2020-09-28,1,mony10christian,"3,35","0,45"
2020-09-28,2,pascalebichette,"3,15","0,44"
2020-09-28,1,281870,"2,35","0,42"
2020-09-28,1,enochwallace,"4,85","0,49"
2020-09-29,2,laure_mett,"3,62","0,45"
2020-09-30,1,Grece_2009,"3,35","0,45"
2020-09-30,2,charlos83cvca,"3,00","0,44"
2020-10-02,3,herhervanl,"8,86","0,61"
2020-10-02,1,Grece_2009,"3,35","0,45"
2020-10-02,3,Frit0₁,"4,80","0,49"
2020-10-03,2,charlos83cvca,"3,85","0,46"
2020-10-04,4,arytmi,"2,20","0,00"
2020-10-05,3,herhervanl,"10,35","0,65"
2020-10-05,1,piedu21,"2,15","0,41"
2020-10-05,1,fr.domi2012,"1,55","0,39"
2020-10-05,1,jack11150,"3,85","0,46"
2020-10-07,1,sfx3420,"1,80","0,40"
2020-10-07,1,molaylittry,"2,00","0,41"
2020-10-07,4,pcsap,"6,14","0,00"
2020-10-08,3,catoune76700,"1,65","0,40"
2020-10-08,1,christianc01330,"2,00","0,41"
2020-10-12,2,valeriane13,"3,14","0,44"
2020-10-13,1,saggradda,"3,85","0,46"
2020-10-14,3,pascalebichette,"3,97","0,47"
2020-10-15,6,elocachou,"4,41","0,48"
2020-10-15,1,louimiramo0,"7,35","0,56"
2020-10-15,1,Dangay.2013,"6,35","0,53"
2020-10-16,1,bianci62,"2,85","0,43"
2020-10-16,1,3782philippe,"2,86","0,43"
2020-10-18,2,francois82100,"3,47","0,45"
2020-10-18,12,schaa-fr2015,"19,27","0,91"
2020-10-18,1,michelm27,"3,85","0,46"
2020-10-19,1,trique0,"1,80","0,40"
2020-10-19,2,trique0,"3,00","0,44"
2020-10-19,1,piedu21,"2,97","0,44"
2020-10-20,1,gerjac49,"4,47","0,00"
2020-10-20,1,sfx3420,"2,00","0,41"
2020-10-20,1,tpatrickhenri,"1,80","0,40"
2020-10-20,1,lenoyellois,"2,85","0,43"
2020-10-20,1,Marie-hmi-0,"1,40","0,39"
2020-10-20,1,Brun-pdxago8,"3,35","0,45"
2020-10-20,1,Ggmem-p4x849,"4,85","0,49"
2020-10-21,2,timbre_enchere,"3,40","0,44"
2020-10-21,1,Chris-4648,"5,35","0,51"
2020-10-22,1,clafou0,"2,35","0,42"
2020-10-22,2,tipotop83,"3,80","0,46"
2020-10-25,2,jeanlouis1946,"7,91","0,58"
2020-10-25,1,bouc4532,"3,45","0,45"
2020-10-25,1,Ancris_65,"3,85","0,46"
2020-10-25,3,yo6371,"2,55","0,42"
2020-10-25,1,jeff54600,"2,00","0,41"
2020-10-25,1,Pascal.53,"9,35","0,62"
2020-10-26,1,axelan94,"3,40","0,45"
2020-10-27,1,jeanlouis1946,"6,85","0,55"
2020-10-27,1,clafou0,"2,85","0,43"
2020-10-27,1,bouc4532,"5,85","0,52"
2020-10-28,12,andre.guerin76,"14,00","0,00"
2020-10-28,1,Grece_2009,"2,55","0,42"
2020-10-28,3,zorba7808christian,"4,56","0,48"
2020-10-28,1,Syljul_60,"6,85","0,55"
2020-10-29,1,fr.domi2012,"1,55","0,39"
2020-10-30,1,oboi7399,"1,80","0,40"
2020-10-30,1,Ica-90,"2,00","0,41"
2020-10-31,1,claudelemaire17wanadoofr2013,"2,35","0,42"
2020-10-31,3,pascalebichette,"4,36","0,48"
2020-11-01,1,Bellou-2009,"1,80","0,40"
2020-11-02,1,stock6257,"2,00","0,41"
2020-11-03,2,patbar74210,"3,30","0,45"
2020-11-03,1,mbb36,"4,47","0,48"
2020-11-03,5,nbranger85,"3,17","0,44"
2020-11-03,1,yt2013ft,"2,76","0,43"
2020-11-05,1,fr.domi2012,"5,35","0,51"
2020-11-05,1,onlytiti,"6,87","0,55"
2020-11-05,3,3782philippe,"6,55","0,54"
2020-11-06,20,andre.guerin76,"23,00","0,00"
2020-11-09,2,valeriane13,"3,39","0,45"
2020-11-09,1,drobert6957,"4,35","0,48"
2020-11-09,4,281870,"3,38","0,45"
2020-11-10,1,saggradda,"7,85","0,58"
2020-11-10,2,catoune76700,"1,85","0,40"
2020-11-10,2,jacques351,"2,85","0,43"
2020-11-13,1,Bellou-2009,"2,00","0,41"
2020-11-13,1,beaucamps80,"5,45","0,51"
2020-11-14,1,patbar74210,"1,45","0,39"
2020-11-14,1,fr.domi2012,"3,35","0,45"
2020-11-14,3,polska62,"2,00","0,00"
2020-11-14,1,Sabte_13,"3,35","0,45"
2020-11-16,10,andre.guerin76,"11,50","0,00"
2020-11-14,x,patbar74210,"3,00","0,00"
2020-11-17,1,Franvi_088,"2,85","0,43"
2020-11-18,1,Michj-36,"2,85","0,43"
2020-11-19,1,bibi155,"4,35","0,48"
2020-11-21,6,pcsap,"11,12","0,00"
2020-11-21,1,herhervanl,"6,90","0,55"
2020-11-22,4,3191blot,"5,85","0,52"
2020-11-22,1,fr.domi2012,"3,91","0,46"
2020-11-22,1,opale9581,"1,95","0,41"
2020-11-22,1,francis54450,"3,85","0,46"
2020-11-23,1,titi802009,"4,94","0,49"
2020-11-22,1,micmi_6672,"2,00","0,41"
2020-11-24,3,isabellem7273,"10,85","0,66"
2020-11-24,2,titi802009,"9,66","0,63"
2020-11-26,1,pascalebichette,"2,92","0,43"
2020-11-27,1,clafou0,"2,15","0,41"
2020-11-28,2,polska62,"3,57","0,00"
2020-12-01,1,romont_fr,"14,44","0,77"
2020-12-03,1,monober67,"4,15","0,47"
2020-12-03,x,cartonanard,"9,03","0,00"
2020-12-03,2,proue44,"3,45","0,45"
2020-12-04,2,Jeremy13_03,"14,11","0,76"
2020-12-06,1,clafou0,"2,35","0,42"
2020-12-07,1,labreizh56,"2,35","0,42"
2020-12-07,1,jersey99pascale,"1,65","0,40"
2020-12-08,1,izakoum76,"3,85","0,46"
2020-12-08,1,titi802009,"3,04","0,44"
2020-12-08,1,daniel542209,"3,44","0,45"
2020-12-08,1,Jeronimo-31,"8,60","0,60"
2020-12-08,3,elocachou,"5,50","0,51"
2020-12-09,1,moirene23349,"3,35","0,45"
2020-12-09,1,claudelemaire17wanadoofr2013,"3,35","0,45"
2020-12-10,1,bianci62,"3,85","0,46"
2020-12-10,1,Jeremy_1303,"3,85","0,46"
2020-12-13,1,jeanlouis1946,"7,35","0,56"
2020-12-14,1,jrjr1925,"3,85","0,46"
2020-12-15,2,pascalebichette,"2,55","0,42"
2020-12-19,1,clafou0,"2,05","0,41"
2020-12-19,2,melvyndesert,"4,66","0,49"
2020-12-20,1,chris_adamc,"7,29","0,56"
2020-12-20,1,jola5092,"2,85","0,43"
2020-12-23,4,arytmi,"2,30","0,00"
2020-12-23,1,gerjac49,"5,35","0,00"
2020-12-23,1,domdom0546,"4,08","0,47"
2020-12-23,1,Alaf-3209,"3,50","0,45"
2020-12-26,1,k.alain.7,"3,50","0,45"
2020-12-26,1,Michj-36,"1,80","0,40"
2020-12-26,3,Didso₈,"5,85","0,52"
2020-12-26,1,clafou0,"2,35","0,42"
2020-12-27,1,papiloule,"2,85","0,43"
2020-12-27,1,papiloule,"3,95","0,46"
2020-12-27,1,edmcarpe0,"14,44","0,77"
2020-12-28,x,andre.guerin76,"10,00","0,00"
2020-12-28,x,andre.guerin76,"6,50","0,00"
2020-12-29,1,pejo6257,"1,80","0,40"
2020-12-29,1,papiloule,"5,20","0,50"
2020-12-31,1,domdom0546,"1,40","0,39"
2019-01-04,1,grece_2009,"2,09","0,32"
2019-01-04,3,titefouine911,"4,09","0,39"
2019-01-04,9,pcsap,"4,5","0,4"
2019-01-04,1,thuilmiche,"1,48",0
2019-01-06,1,richafr_fyvasg,"2,59","0,34"
2019-01-06,1,itou72,2,0
2019-01-06,1,flopas25,"2,08","0,32"
2019-01-06,2,mti671,"2,46","0,33"
2019-01-09,1,chausson-2,"0,5","0,27"
2019-01-11,5,proue44,"1,48","0,3"
2019-01-11,3,trompette1940,"3,5","0,37"
2019-01-11,1,bianci62,"1,88","0,31"
2019-01-11,1,cob92,"2,69","0,34"
2019-01-11,1,poulette1383,"2,25","0,33"
2019-01-15,1,annemaras,"1,58","0,3"
2019-01-15,1,lambart1213,"1,88","0,31"
2019-01-17,1,hiffie,"2,11",0
2019-01-18,2,Jeronimo-31,"1,7","0,31"
2019-01-18,1,henr_douc,"1,58","0,3"
2019-01-22,1,orela33,"0,8",0
2019-01-22,3,isabellem7273,"6,4","0,47"
2019-01-22,3,thuilmiche,"2,78",0
2019-01-26,8,vecenet,"2,68","0,34"
2019-01-26,10,pcsap,"4,5","0,4"
2019-01-26,1,francis54450,"1,58","0,3"
2019-01-26,1,poulette1383,"1,28","0,29"
2019-01-26,1,alexan94,"3,38","0,36"
2019-02-01,2,poulette1383,"2,4","0,33"
2019-02-01,1,dominiqudeboevr0,"0,98",0
2019-02-01,1,mounette-16071960,"1,88","0,31"
2019-02-01,1,claudelemaire17wanadoofr2013,"1,99","0,32"
2019-02-02,1,yve-audr,"1,48","0,3"
2019-02-02,3,patbar74210,"2,88","0,35"
